word,root
بِنُورِهِمْ,بنورهم,بنورهم
وَتَرَكَهُمْ,وتركهم,وتركهم
ظُلُمَٰتٍ,ظلمات,ظلمات
يُبْصِرُونَ,يبصرون,يبصرون
صُمٌّۢ,صم,صم
بُكْمٌ,بكم,بكم
عُمْىٌ,عمى,عمى
فَهُمْ,فهم,فهم
يَرْجِعُونَ,يرجعون,يرجعون
أَوْ,او,او
كَصَيِّبٍ,كصيب,كصيب
مِّنَ,من,من
ٱلسَّمَآءِ,السماء,السماء
ظُلُمَٰتٌ,ظلمات,ظلمات
وَرَعْدٌ,ورعد,ورعد
وَبَرْقٌ,وبرق,وبرق
يَجْعَلُونَ,يجعلون,يجعلون
أَصَٰبِعَهُمْ,اصابعهم,اصابعهم
فِىٓ,فى,فى
ءَاذَانِهِم,ءاذانهم,ءاذانهم
ٱلصَّوَٰعِقِ,الصواعق,الصواعق
حَذَرَ,حذر,حذر
ٱلْمَوْتِ,الموت,الموت
وَٱللَّهُ,والله,والله
مُحِيطٌۢ,محيط,محيط
بِٱلْكَٰفِرِينَ,بالكافرين,بالكافرين
يَكَادُ,يكاد,يكاد
ٱلْبَرْقُ,البرق,البرق
يَخْطَفُ,يخطف,يخطف
أَبْصَٰرَهُمْ,ابصارهم,ابصارهم
كُلَّمَآ,كلما,كلما
أَضَآءَ,اضاء,اضاء
لَهُم,لهم,لهم
مَّشَوْا۟,مشوا,مشوا
وَإِذَآ,واذا,واذا
أَظْلَمَ,اظلم,اظلم
قَامُوا۟,قاموا,قاموا
وَلَوْ,ولو,ولو
شَآءَ,شاء,شاء
لَذَهَبَ,لذهب,لذهب
بِسَمْعِهِمْ,بسمعهم,بسمعهم
وَأَبْصَٰرِهِمْ,وابصارهم,وابصارهم
كُلِّ,كل,كل
شَىْءٍ,شىء,شىء
قَدِيرٌ,قدير,قدير
يَٰٓأَيُّهَا,ياايها,ياايها
ٱعْبُدُوا۟,اعبدوا,اعبدوا
رَبَّكُمُ,ربكم,ربكم
خَلَقَكُمْ,خلقكم,خلقكم
قَبْلِكُمْ,قبلكم,قبلكم
لَعَلَّكُمْ,لعلكم,لعلكم
تَتَّقُونَ,تتقون,تتقون
جَعَلَ,جعل,جعل
لَكُمُ,لكم,لكم
ٱلْأَرْضَ,الارض,الارض
فِرَٰشًا,فراشا,فراشا
وَٱلسَّمَآءَ,والسماء,والسماء
بِنَآءً,بناء,بناء
وَأَنزَلَ,وانزل,وانزل
مِنَ,من,من
مَآءً,ماء,ماء
فَأَخْرَجَ,فاخرج,فاخرج
بِهِۦ,به,به
ٱلثَّمَرَٰتِ,الثمرات,الثمرات
رِزْقًا,رزقا,رزقا
لَّكُمْ,لكم,لكم
فَلَا,فلا,فلا
تَجْعَلُوا۟,تجعلوا,تجعلوا
أَندَادًا,اندادا,اندادا
وَأَنتُمْ,وانتم,وانتم
تَعْلَمُونَ,تعلمون,تعلمون
وَإِن,وان,وان
كُنتُمْ,كنتم,كنتم
رَيْبٍ,ريب,ريب
مِّمَّا,مما,مما
نَزَّلْنَا,نزلنا,نزلنا
عَبْدِنَا,عبدنا,عبدنا
فَأْتُوا۟,فاتوا,فاتوا
بِسُورَةٍ,بسورة,بسورة
مِّثْلِهِۦ,مثله,مثله
وَٱدْعُوا۟,وادعوا,وادعوا
شُهَدَآءَكُم,شهداءكم,شهداءكم
دُونِ,دون,دون
إِن,ان,ان
صَٰدِقِينَ,صادقين,صادقين
فَإِن,فان,فان
لَّمْ,لم,لم
تَفْعَلُوا۟,تفعلوا,تفعلوا
وَلَن,ولن,ولن
فَٱتَّقُوا۟,فاتقوا,فاتقوا
ٱلنَّارَ,النار,النار
ٱلَّتِى,التى,التى
وَقُودُهَا,وقودها,وقودها
وَٱلْحِجَارَةُ,والحجارة,والحجارة
أُعِدَّتْ,اعدت,اعدت
لِلْكَٰفِرِينَ,للكافرين,للكافرين
وَبَشِّرِ,وبشر,وبشر
وَعَمِلُوا۟,وعملوا,وعملوا
ٱلصَّٰلِحَٰتِ,الصالحات,الصالحات
أَنَّ,ان,ان
جَنَّٰتٍ,جنات,جنات
تَجْرِى,تجرى,تجرى
تَحْتِهَا,تحتها,تحتها
ٱلْأَنْهَٰرُ,الانهار,الانهار
كُلَّمَا,كلما,كلما
رُزِقُوا۟,رزقوا,رزقوا
مِنْهَا,منها,منها
ثَمَرَةٍ,ثمرة,ثمرة
رِّزْقًا,رزقا,رزقا
قَالُوا۟,قالوا,قالوا
هَٰذَا,هاذا,هاذا
رُزِقْنَا,رزقنا,رزقنا
قَبْلُ,قبل,قبل
وَأُتُوا۟,واتوا,واتوا
مُتَشَٰبِهًا,متشابها,متشابها
فِيهَآ,فيها,فيها
أَزْوَٰجٌ,ازواج,ازواج
مُّطَهَّرَةٌ,مطهرة,مطهرة
وَهُمْ,وهم,وهم
فِيهَا,فيها,فيها
خَٰلِدُونَ,خالدون,خالدون
يَسْتَحْىِۦٓ,يستحى,يستحى
أَن,ان,ان
يَضْرِبَ,يضرب,يضرب
مَثَلًا,مثلا,مثلا
مَّا,ما,ما
بَعُوضَةً,بعوضة,بعوضة
فَوْقَهَا,فوقها,فوقها
فَأَمَّا,فاما,فاما
فَيَعْلَمُونَ,فيعلمون,فيعلمون
أَنَّهُ,انه,انه
ٱلْحَقُّ,الحق,الحق
وَأَمَّا,واما,واما
فَيَقُولُونَ,فيقولون,فيقولون
مَاذَآ,ماذا,ماذا
أَرَادَ,اراد,اراد
بِهَٰذَا,بهاذا,بهاذا
يُضِلُّ,يضل,يضل
كَثِيرًا,كثيرا,كثيرا
وَيَهْدِى,ويهدى,ويهدى
بِهِۦٓ,به,به
إِلَّا,الا,الا
ٱلْفَٰسِقِينَ,الفاسقين,الفاسقين
يَنقُضُونَ,ينقضون,ينقضون
عَهْدَ,عهد,عهد
مِنۢ,من,من
بَعْدِ,بعد,بعد
مِيثَٰقِهِۦ,ميثاقه,ميثاقه
وَيَقْطَعُونَ,ويقطعون,ويقطعون
مَآ,ما,ما
أَمَرَ,امر,امر
يُوصَلَ,يوصل,يوصل
وَيُفْسِدُونَ,ويفسدون,ويفسدون
ٱلْخَٰسِرُونَ,الخاسرون,الخاسرون
كَيْفَ,كيف,كيف
تَكْفُرُونَ,تكفرون,تكفرون
وَكُنتُمْ,وكنتم,وكنتم
أَمْوَٰتًا,امواتا,امواتا
فَأَحْيَٰكُمْ,فاحياكم,فاحياكم
ثُمَّ,ثم,ثم
يُمِيتُكُمْ,يميتكم,يميتكم
يُحْيِيكُمْ,يحييكم,يحييكم
إِلَيْهِ,اليه,اليه
تُرْجَعُونَ,ترجعون,ترجعون
هُوَ,هو,هو
خَلَقَ,خلق,خلق
لَكُم,لكم,لكم
جَمِيعًا,جميعا,جميعا
ٱسْتَوَىٰٓ,استوىا,استوىا
إِلَى,الى,الى
فَسَوَّىٰهُنَّ,فسوىاهن,فسوىاهن
سَبْعَ,سبع,سبع
سَمَٰوَٰتٍ,سماوات,سماوات
وَهُوَ,وهو,وهو
بِكُلِّ,بكل,بكل
عَلِيمٌ,عليم,عليم
وَإِذْ,واذ,واذ
قَالَ,قال,قال
رَبُّكَ,ربك,ربك
لِلْمَلَٰٓئِكَةِ,للملايكة,للملايكة
إِنِّى,انى,انى
جَاعِلٌ,جاعل,جاعل
خَلِيفَةً,خليفة,خليفة
أَتَجْعَلُ,اتجعل,اتجعل
يُفْسِدُ,يفسد,يفسد
وَيَسْفِكُ,ويسفك,ويسفك
ٱلدِّمَآءَ,الدماء,الدماء
وَنَحْنُ,ونحن,ونحن
نُسَبِّحُ,نسبح,نسبح
بِحَمْدِكَ,بحمدك,بحمدك
وَنُقَدِّسُ,ونقدس,ونقدس
لَكَ,لك,لك
إِنِّىٓ,انى,انى
أَعْلَمُ,اعلم,اعلم
وَعَلَّمَ,وعلم,وعلم
ءَادَمَ,ءادم,ءادم
ٱلْأَسْمَآءَ,الاسماء,الاسماء
كُلَّهَا,كلها,كلها
عَرَضَهُمْ,عرضهم,عرضهم
عَلَى,على,على
ٱلْمَلَٰٓئِكَةِ,الملايكة,الملايكة
فَقَالَ,فقال,فقال
أَنۢبِـُٔونِى,انبـونى,انبـونى
بِأَسْمَآءِ,باسماء,باسماء
هَٰٓؤُلَآءِ,هاولاء,هاولاء
سُبْحَٰنَكَ,سبحانك,سبحانك
عِلْمَ,علم,علم
لَنَآ,لنا,لنا
عَلَّمْتَنَآ,علمتنا,علمتنا
إِنَّكَ,انك,انك
أَنتَ,انت,انت
ٱلْعَلِيمُ,العليم,العليم
ٱلْحَكِيمُ,الحكيم,الحكيم
يَٰٓـَٔادَمُ,ياـادم,ياـادم
أَنۢبِئْهُم,انبيهم,انبيهم
بِأَسْمَآئِهِمْ,باسمايهم,باسمايهم
أَنۢبَأَهُم,انباهم,انباهم
أَلَمْ,الم,الم
أَقُل,اقل,اقل
غَيْبَ,غيب,غيب
ٱلسَّمَٰوَٰتِ,السماوات,السماوات
وَٱلْأَرْضِ,والارض,والارض
وَأَعْلَمُ,واعلم,واعلم
تُبْدُونَ,تبدون,تبدون
تَكْتُمُونَ,تكتمون,تكتمون
قُلْنَا,قلنا,قلنا
ٱسْجُدُوا۟,اسجدوا,اسجدوا
لِءَادَمَ,لءادم,لءادم
فَسَجَدُوٓا۟,فسجدوا,فسجدوا
إِبْلِيسَ,ابليس,ابليس
أَبَىٰ,ابىا,ابىا
وَٱسْتَكْبَرَ,واستكبر,واستكبر
وَكَانَ,وكان,وكان
ٱلْكَٰفِرِينَ,الكافرين,الكافرين
وَقُلْنَا,وقلنا,وقلنا
ٱسْكُنْ,اسكن,اسكن
وَزَوْجُكَ,وزوجك,وزوجك
ٱلْجَنَّةَ,الجنة,الجنة
وَكُلَا,وكلا,وكلا
رَغَدًا,رغدا,رغدا
حَيْثُ,حيث,حيث
شِئْتُمَا,شيتما,شيتما
تَقْرَبَا,تقربا,تقربا
هَٰذِهِ,هاذه,هاذه
ٱلشَّجَرَةَ,الشجرة,الشجرة
فَتَكُونَا,فتكونا,فتكونا
ٱلظَّٰلِمِينَ,الظالمين,الظالمين
فَأَزَلَّهُمَا,فازلهما,فازلهما
ٱلشَّيْطَٰنُ,الشيطان,الشيطان
عَنْهَا,عنها,عنها
فَأَخْرَجَهُمَا,فاخرجهما,فاخرجهما
مِمَّا,مما,مما
كَانَا,كانا,كانا
ٱهْبِطُوا۟,اهبطوا,اهبطوا
بَعْضُكُمْ,بعضكم,بعضكم
لِبَعْضٍ,لبعض,لبعض
عَدُوٌّ,عدو,عدو
