word,root
غَيْبَ,غيب,غيب
ٱلسَّمَٰوَٰتِ,ٱلسمٰوٰت,السماوات
وَٱلْأَرْضِ,ٱلأرض,والارض
وَأَعْلَمُ,أعلم,واعلم
تُبْدُونَ,تبد,تبدون
تَكْتُمُونَ,كتم,تكتمون
قُلْنَا,قلن,قلنا
ٱسْجُدُوا۟,ٱسجدوا۟,اسجدوا
لِءَادَمَ,ءدم,لءادم
فَسَجَدُوٓا۟,فسجدوٓا۟,فسجدوا
إِبْلِيسَ,بلس,ابليس
أَبَىٰ,بىٰ,ابىا
وَٱسْتَكْبَرَ,ٱستكبر,واستكبر
وَكَانَ,وكان,وكان
ٱلْكَٰفِرِينَ,ٱلكٰفر,الكافرين
وَقُلْنَا,وقل,وقلنا
ٱسْكُنْ,ٱسك,اسكن
وَزَوْجُكَ,وزج,وزوجك
ٱلْجَنَّةَ,ٱلج,الجنة
وَكُلَا,وكل,وكلا
رَغَدًا,رغد,رغدا
حَيْثُ,حيث,حيث
شِئْتُمَا,شئت,شيتما
تَقْرَبَا,قرب,تقربا
هَٰذِهِ,هٰذ,هاذه
ٱلشَّجَرَةَ,ٱلشجر,الشجرة
فَتَكُونَا,تكو,فتكونا
ٱلظَّٰلِمِينَ,ٱلظٰلم,الظالمين
فَأَزَلَّهُمَا,أزل,فازلهما
ٱلشَّيْطَٰنُ,ٱلشيطٰ,الشيطان
عَنْهَا,عنه,عنها
فَأَخْرَجَهُمَا,أخرج,فاخرجهما
مِمَّا,مما,مما
كَانَا,كنا,كانا
ٱهْبِطُوا۟,ٱهبطوا۟,اهبطوا
بَعْضُكُمْ,بعض,بعضكم
لِبَعْضٍ,بعض,لبعض
عَدُوٌّ,عدو,عدو
وَلَكُمْ,لكم,ولكم
مُسْتَقَرٌّ,سقر,مستقر
وَمَتَٰعٌ,تٰع,ومتاع
حِينٍ,حين,حين
فَتَلَقَّىٰٓ,قىٰٓ,فتلقىا
ءَادَمُ,ءدم,ءادم
رَّبِّهِۦ,ربهۦ,ربه
كَلِمَٰتٍ,كلمٰ,كلمات
فَتَابَ,فتب,فتاب
عَلَيْهِ,عليه,عليه
إِنَّهُۥ,نهۥ,انه
ٱلتَّوَّابُ,ٱلتواب,التواب
ٱلرَّحِيمُ,ٱلرحيم,الرحيم
فَإِمَّا,فإم,فاما
يَأْتِيَنَّكُم,أين,ياتينكم
مِّنِّى,منى,منى
فَمَن,فمن,فمن
تَبِعَ,تبع,تبع
هُدَاىَ,هدى,هداى
خَوْفٌ,خوف,خوف
يَحْزَنُونَ,يحز,يحزنون
وَكَذَّبُوا۟,كذبوا۟,وكذبوا
بِـَٔايَٰتِنَآ,بـٔايٰتنآ,بـاياتنا
أَصْحَٰبُ,صحٰب,اصحاب
ٱلنَّارِ,ٱلنار,النار
يَٰبَنِىٓ,ٰبنىٓ,يابنى
إِسْرَٰٓءِيلَ,اسرٰٓءيل,اسراءيل
ٱذْكُرُوا۟,ٱذكروا۟,اذكروا
نِعْمَتِىَ,عمتى,نعمتى
